,game_name,app_id,review_text,review_length,hours_played,review_date,owners,developers,publishers,genres,platforms,categories,release_date,price
0,Counter-Strike: Global Offensive,730,pucajjj bam bam,15,197.21666666666667,2026-03-02 01:55:35,"100,000,000 .. 200,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","Aug 21, 2012",
1,Counter-Strike: Global Offensive,730,YES,3,22.85,2026-03-02 01:39:35,"100,000,000 .. 200,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","Aug 21, 2012",
2,Counter-Strike: Global Offensive,730,its pretty fun,14,24.15,2026-03-02 01:32:54,"100,000,000 .. 200,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","Aug 21, 2012",
3,Counter-Strike: Global Offensive,730,awsone,6,264.6666666666667,2026-03-02 01:30:30,"100,000,000 .. 200,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","Aug 21, 2012",
4,Counter-Strike: Global Offensive,730,s,1,136.31666666666666,2026-03-02 01:30:21,"100,000,000 .. 200,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","Aug 21, 2012",
5,Counter-Strike: Global Offensive,730,game suc,8,951.8,2026-03-02 01:29:56,"100,000,000 .. 200,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","Aug 21, 2012",
6,Counter-Strike: Global Offensive,730,...,3,167.18333333333334,2026-03-02 01:29:00,"100,000,000 .. 200,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","Aug 21, 2012",
7,Counter-Strike: Global Offensive,730,This game ♥♥♥♥♥♥♥ sucks,23,858.6,2026-03-02 01:28:49,"100,000,000 .. 200,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","Aug 21, 2012",
8,Counter-Strike: Global Offensive,730,bad game csgo good cs2 bad,26,607.8333333333334,2026-03-02 01:28:05,"100,000,000 .. 200,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","Aug 21, 2012",
9,Counter-Strike: Global Offensive,730,volvo,5,62.11666666666667,2026-03-02 01:27:30,"100,000,000 .. 200,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","Aug 21, 2012",
10,Counter-Strike: Global Offensive,730,"Po 15 rokoch nehrania, keď som naposledy hral 1.6 si bolo treba zvyknúť ale keď som sa do toho dostal, až tak sa to v princípe nezmenilo. Kopu drobností pribudlo k pozitívu. A keď neriešim občasných cheaterov, ktorí boli vždy na CS-ku a mám vypnutý voice chat, tak si viem parádne zahrať Casual pre zábavu.",306,52.9,2026-03-02 01:23:52,"100,000,000 .. 200,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","Aug 21, 2012",
11,Counter-Strike: Global Offensive,730,Great game,10,1087.9333333333334,2026-03-02 01:19:52,"100,000,000 .. 200,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","Aug 21, 2012",
12,Counter-Strike: Global Offensive,730,"shetzkltygh ,Yxl;.gj fzhb",25,139.68333333333334,2026-03-02 01:14:31,"100,000,000 .. 200,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","Aug 21, 2012",
13,Counter-Strike: Global Offensive,730,very good game,14,100.25,2026-03-02 01:12:23,"100,000,000 .. 200,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","Aug 21, 2012",
14,Counter-Strike: Global Offensive,730,i mean it is good but at the same time everyone just says its the best pvp game to ever touch this earth which couldnt be more wrong its just fine and thats it.,160,240.98333333333332,2026-03-02 01:09:28,"100,000,000 .. 200,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","Aug 21, 2012",
15,Counter-Strike: Global Offensive,730,Spent my kids schooling fund on this game and wife left me and took the inventory in the divorce,96,83.03333333333333,2026-03-02 01:09:15,"100,000,000 .. 200,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","Aug 21, 2012",
16,Counter-Strike: Global Offensive,730,no,2,50.93333333333333,2026-03-02 01:05:29,"100,000,000 .. 200,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","Aug 21, 2012",
17,Counter-Strike: Global Offensive,730,fun,3,592.75,2026-03-02 01:04:29,"100,000,000 .. 200,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","Aug 21, 2012",
18,Counter-Strike: Global Offensive,730,GOOD GAME,9,14.766666666666667,2026-03-02 01:03:58,"100,000,000 .. 200,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","Aug 21, 2012",
19,Counter-Strike: Global Offensive,730,gun game,8,21.266666666666666,2026-03-02 01:02:27,"100,000,000 .. 200,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","Aug 21, 2012",
