Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,game_name,app_id,review_text,review_length,hours_played,review_date,owners,developers,publishers,genres,platforms,categories,release_date,price,embedding
0,1860,1860,Path of Exile 2,2694490,,1,10.6,2026-02-26 23:50:27,"20,000,000 .. 50,000,000",['Grinding Gear Games'],['Grinding Gear Games'],"['Action', 'Adventure', 'Massively Multiplayer', 'RPG', 'Early Access']",['windows'],"['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Online Co-op', 'Full controller support', 'HDR available']","Dec 6, 2024",2999.0,"-0.040383,-0.2132,0.055937,-0.070654,0.4657,0.14988,0.35069,0.38861,1.0382,0.31142,0.43467,1.0776,0.20412,0.11486,-0.15259,-1.2375,0.63977,-0.40243,-0.32668,-0.16361,0.4715,0.097336,-0.3228,0.82284,-0.05374,0.72566,0.077025,0.19049,-1.011,0.063992,-0.42976,0.492,0.3961,-0.22394,-0.32937,-0.68569,-0.038767,1.2796,-0.51853,-0.14503,-0.46248,-0.021891,-0.57194,0.066688,0.36953,0.7507,-0.94705,-0.29925,0.41504,-0.50964,-0.61258,0.20794,0.51331,0.20323,-0.25576,-0.016653,0.36026,0.29747,-0.25774,-0.0073715,-0.6191,-0.16447,-0.28221,0.16458,-0.13794,-0.36302,0.32537,1.4793,0.16161,0.018392,-0.29274,0.56243,0.3591,-0.26062,0.24564,-0.39409,-0.61024,-0.23352,-0.40417,-0.46959,0.45789,-0.074916,0.12149,-0.79923,0.27619,0.19909,-1.3364,0.47668,0.9909,-0.057745,0.91582,0.46617,0.10032,0.25265,-0.36012,-0.42818,-0.3804,-1.3927,-0.015867,0.11311"
1,353,353,Palworld,1623730,incredibly fun and great replayability  i think that s how you spell that word,79,92.01666666666668,2026-02-28 14:33:41,"50,000,000 .. 100,000,000",['Pocketpair'],['Pocketpair'],"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",['windows'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Family Sharing']","Jan 18, 2024",2999.0,"-0.14382543,0.34476894,0.484638,-0.29910246,-0.44196352,0.13573913,-0.18439318,0.019755933,-0.076521344,-0.123794004,0.1160988,0.022455567,0.159814,-0.061213426,0.06125221,-0.14064462,0.01961675,0.1939418,-0.4035314,0.5166171,0.14141092,0.08885949,-0.08704442,-0.3109353,0.19232056,0.282548,-0.24314956,-0.31381366,0.028108146,-0.30423447,-0.14336208,0.6112155,-0.014139707,-0.025014384,0.04719964,0.18321626,-0.0917925,0.17389421,0.09675915,-0.3196657,-0.21545856,-0.088365234,0.14796329,-0.43234354,-0.36123943,-0.0010940711,0.27405626,-0.24585937,0.10195883,-0.77843565,0.049576174,-0.007860094,0.25154608,0.8129476,-0.16402872,-2.1261709,0.13641457,0.10098857,1.0910492,0.43186674,-0.15814193,0.73718435,-0.47814766,-0.11586998,0.7384399,0.11543508,0.61051047,0.19612278,0.015614363,-0.23435877,0.18860658,-0.1614333,0.09058016,-0.2934354,0.18728876,0.15592328,-0.017005071,-0.03962129,-0.56038505,-0.0030442837,0.37039214,-0.11735421,-0.54516643,-0.022615705,-1.4181001,-0.21887551,-0.16911507,-0.31477258,-0.28976655,-0.4174926,-0.095606424,-0.008273757,-0.013764002,-0.004295743,-0.28246942,-0.15226443,-0.32085386,-0.39584142,0.17293756,0.48369718"
2,1333,1333,Monster Hunter Wilds,2246340,i monster my hunter till i wilds,32,113.88333333333334,2026-03-01 10:51:44,"20,000,000 .. 50,000,000","['CAPCOM Co., Ltd.']","['CAPCOM Co., Ltd.']","['Action', 'Adventure', 'RPG']",['windows'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Keyboard Only Option', 'Stereo Sound', 'Subtitle Options', 'Surround Sound', 'Steam Cloud', 'HDR available', 'Family Sharing']","Feb 27, 2025",6999.0,"-0.059199862,0.17194816,0.5066997,-0.41186717,-0.5105441,0.257052,0.10621215,0.2337143,-0.12267356,-0.25637,0.30333182,0.26904243,0.11581729,0.05321828,0.155427,-0.09403569,0.20610142,0.45432228,-0.5934673,0.39910147,0.14457056,0.43177086,-0.04349615,-0.18042493,0.30988297,0.6022129,-0.34749675,-0.47350875,0.3692457,-0.11708208,-0.13641857,0.30132946,0.40312615,-0.07879857,0.01916285,0.311961,-0.44669002,0.22827542,0.48683015,-0.3713336,-0.27709857,0.013136001,0.07760787,-0.25042838,-0.23407869,0.025419993,0.019751424,-0.33536044,0.25802428,-0.70523006,-0.19569044,-0.06927771,0.20182273,0.6490415,-0.294332,-1.7359041,0.17908628,0.26389998,0.96380997,0.46075216,0.33783573,1.0756371,-0.49010858,0.024161812,0.7813457,0.17433071,0.4153683,0.28336585,-0.20031057,0.04675614,0.29040986,-0.09450151,0.23947528,-0.33871573,-0.105459996,0.27011874,-0.18149185,-0.19908829,-0.36038354,0.018133283,0.12518558,0.06379615,-0.34497544,-0.04501143,-0.7833771,-0.113046706,-0.2578893,-0.5914629,-0.40772,-0.16494544,-0.039907146,-0.09910301,0.386687,0.44157502,-0.28402385,-0.10452771,-0.14374998,-0.044170707,0.028190868,0.11946429"
3,905,905,Left 4 Dead 2,550,this is a really good game if you love zombie apocolypse games  good luck,74,33.55,2026-03-01 23:18:17,"50,000,000 .. 100,000,000",['Valve'],['Valve'],['Action'],"['windows', 'linux']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Adjustable Difficulty', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing', 'Steam Timeline']","Nov 16, 2009",999.0,"-0.15474524,0.32878068,0.6420823,-0.5284323,-0.33022183,0.35550487,0.0022277683,-0.035931215,-0.13531186,-0.19511546,0.06432107,-0.06741504,0.23740007,-0.066554,0.10827807,-0.009865767,0.122607596,0.39734393,-0.27455062,0.6606535,0.19090477,0.10133385,-0.124652,-0.1380647,0.40170157,0.34751612,-0.19904853,-0.42144534,0.01938069,-0.24612738,-0.41654158,0.750203,0.02385985,-0.10081314,0.27811253,0.18264478,-0.37453255,0.3126946,0.037012737,-0.36974308,-0.06578831,-0.00893159,0.23159906,-0.45246312,-0.2186907,-0.07451956,0.18577653,-0.4129783,0.023981538,-0.89249456,-0.14941843,-0.25400096,0.15678431,0.8665977,-0.09362601,-2.6668155,0.09508407,0.19297607,1.2804967,0.46369615,-0.32330826,0.7945731,-0.61025214,-0.124610744,0.7021029,0.14865254,0.56300503,0.24148448,-0.05702331,-0.20475155,-0.00495023,-0.18825777,0.035251386,-0.08347262,0.25559455,0.28740552,-0.17633845,-0.13150921,-0.53586817,0.13144039,0.31556436,0.09855546,-0.6304084,0.051927622,-1.3885968,-0.06325168,-0.110323995,-0.19433786,-0.23592255,-0.39734825,-0.15429823,-0.058036122,-0.004498764,0.08975942,-0.3240874,-0.18902747,-0.16510452,-0.29501998,0.3506652,0.41936156"
4,1289,1289,War Thunder,236390,love the game but it pisses me the  off unlike any other game,65,224.63333333333333,2024-01-15 07:27:11,"20,000,000 .. 50,000,000",['Gaijin Entertainment'],['Gaijin Network Ltd'],"['Action', 'Massively Multiplayer', 'Simulation', 'Free To Play']","['windows', 'mac', 'linux']","['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'VR Supported', 'Steam Trading Cards', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Remote Play on Phone', 'Remote Play on Tablet']","Aug 15, 2013",,"-0.09659069,0.12090508,0.65352696,-0.43981764,-0.17890838,0.32148013,-0.02538693,0.03311658,-0.041833162,-0.17715818,0.23589952,0.023351252,0.10486038,-0.063702464,0.15637352,-0.081892654,-0.06667001,0.36435208,-0.33692777,0.41775447,0.30264047,-0.07805285,0.10595523,-0.022692304,0.48334962,0.109087236,-0.27060807,-0.37562114,0.040000543,-0.17575614,-0.17540501,0.5617685,0.011642313,0.07694685,0.012782073,0.191562,-0.24964157,0.15500477,-0.20532617,-0.29681137,-0.31210592,-0.19060832,0.19477619,-0.26680177,-0.15438746,0.06053424,0.24425007,-0.25370294,-0.026120465,-0.61943233,-0.031386927,0.15587808,0.07201255,0.84244066,-0.18691161,-2.4634755,-0.03766332,-0.07344977,1.6178539,0.68343675,-0.21468338,0.838127,-0.24326429,0.16177104,0.62753594,0.02091383,0.4731521,0.22841415,-0.035545226,-0.040957473,-0.12003823,-0.15012015,0.08276524,-0.27907607,0.22030354,0.17377329,-0.2529564,-0.15156999,-0.6455015,0.2164543,0.43563384,0.004333846,-0.54481614,0.2408119,-1.3788546,-0.13703008,-0.15467516,-0.04698239,-0.12990668,-0.21822861,-0.2164964,-0.11170661,-0.17959253,0.12398884,-0.4246946,-0.17925137,-0.45465693,-0.015595085,0.42346236,0.29150254"
5,1273,1273,War Thunder,236390,game good,9,1491.0166666666669,2024-05-04 01:46:20,"20,000,000 .. 50,000,000",['Gaijin Entertainment'],['Gaijin Network Ltd'],"['Action', 'Massively Multiplayer', 'Simulation', 'Free To Play']","['windows', 'mac', 'linux']","['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'VR Supported', 'Steam Trading Cards', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Remote Play on Phone', 'Remote Play on Tablet']","Aug 15, 2013",,"0.015945002,0.0729665,0.83054495,-0.639095,-0.65422,0.35666,0.536738,-0.287955,-0.71511495,-0.35589498,-0.047042005,-0.48339,-0.0039549917,-0.2860455,0.1917,0.219944,0.137454,0.496283,-0.36716002,0.81509006,0.103038,0.21007898,-0.157949,0.044965,0.738895,0.070714995,-0.32423,-0.08421999,-0.21039,-0.031844996,-0.59705,0.824505,-0.054749995,-0.1407205,0.396365,-0.010554999,-0.88996,0.541645,-0.4287049,-0.53751504,0.3618575,-0.182345,0.31505,-0.372755,-0.31987,-0.137929,0.212378,-0.603385,0.2749895,-1.139635,-0.14137,-0.22112949,-0.105358005,0.91262496,0.215412,-2.95985,0.112975,0.123225,1.46935,0.669415,-0.754035,0.57080495,-0.93236,-0.037218,0.51108503,0.0537705,0.503995,0.1917995,-0.27820998,-0.045755,0.059635006,0.0213485,0.41366,-0.234264,0.32904997,0.44252,-0.46427,-0.051064998,-0.221815,0.301375,0.46723002,0.323525,-0.92569,0.094115,-1.5659499,0.061,-0.2844985,-0.051810503,-0.30763248,-0.27818,-0.2238995,-0.11467999,-0.167704,0.16517,-0.46024,-0.19052501,-0.43837,-0.033759996,0.531825,0.51685405"
6,938,938,Left 4 Dead 2,550,best game to play with a full group and stacked workshop mods once every 4 months,82,8.916666666666666,2026-03-01 10:05:27,"50,000,000 .. 100,000,000",['Valve'],['Valve'],['Action'],"['windows', 'linux']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Adjustable Difficulty', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing', 'Steam Timeline']","Nov 16, 2009",999.0,"-0.13418862,0.2853217,0.17633408,-0.25690308,0.09221593,0.34425503,0.20815712,0.2805971,-0.36505225,0.055249184,0.19533113,-0.2460262,0.09875432,0.03512327,0.12591073,-0.04286612,0.2719507,0.07879388,-0.36673716,0.16534151,0.21258825,-0.15944082,0.26207787,0.06485057,0.46350864,-0.26089835,-0.12137426,-0.24101493,0.11511625,0.0060335,-0.27353558,0.44703892,-0.09621782,0.015036941,0.10120012,0.27673846,-0.08714063,0.2722529,-0.13311806,-0.21639076,-0.041692503,-0.22692882,0.13211194,-0.23895952,0.04605344,-0.056423746,-0.0018671248,-0.26544082,0.050716184,-0.5442498,-0.22507137,-0.179679,0.022632813,1.0496985,-0.17812389,-2.260828,-0.13727137,-0.19529039,1.3609581,0.6023479,-0.27303317,0.6171279,-0.39565775,0.10322608,0.56033915,0.054822885,0.33636078,0.33280674,0.14284657,-0.053551756,-0.007303871,-0.09398086,-0.07095651,-0.19836946,-0.0020439401,0.16483974,-0.29203916,-0.10266172,-0.5802683,-0.044496935,0.5318483,0.09288539,-0.40815327,0.23421106,-1.1268257,-0.14586233,0.09527236,-0.05418118,-0.13841869,-0.15771072,-0.092268944,-0.0021880586,-0.19446485,0.037373308,-0.39845097,-0.113129936,-0.2209182,-0.13371444,0.6971737,0.16222313"
7,1731,1731,Terraria,105600,mods,4,141.06666666666666,2026-03-01 21:45:46,"20,000,000 .. 50,000,000",['Re-Logic'],['Re-Logic'],"['Action', 'Adventure', 'Indie', 'RPG']","['windows', 'mac', 'linux']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","May 16, 2011",999.0,"-0.3199,0.13762,-0.27055,-0.7199,-0.54691,0.29846,0.25681,-0.26101,-0.075489,0.26089,0.06381,-0.50622,-0.83424,-0.056792,0.44046,0.37749,0.0014913,0.065839,-0.21208,0.28449,-0.10328,-0.4861,-0.34336,-0.4161,0.70454,-0.7514,0.10833,0.038961,0.089735,0.33951,-0.11133,-0.017557,-0.9796,0.368,0.90243,0.53799,-0.4037,0.1335,-0.43367,-0.75532,0.30607,0.34624,-0.24953,0.040317,0.020469,-0.28169,0.45302,0.018637,0.47065,1.0244,0.14228,-0.039731,-0.31669,0.076956,-0.48025,0.99703,-0.19467,0.25258,-0.42809,0.70916,-0.366,0.072905,-0.43062,0.47486,0.58973,0.62426,-0.18966,-0.87885,0.32533,-0.77217,0.10595,0.22463,0.0067177,-0.013864,-0.37919,0.19873,0.14906,0.71716,-0.15337,-0.61125,0.098293,-0.18043,-0.0094777,0.76035,-0.36834,0.40882,-0.18017,0.19757,-0.54753,0.26602,-0.43854,-0.073501,-0.58702,-0.47161,0.3767,-0.69379,-0.064886,-0.19153,0.65239,0.031938"
8,65,65,Counter-Strike: Global Offensive,730,wery good gsme,14,938.3666666666668,2026-03-01 23:08:40,"100,000,000 .. 200,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","Aug 21, 2012",,"-0.18220949,-0.008764997,0.026294991,-0.21258101,-0.29145998,-0.0945485,0.16118799,-0.27851498,-0.11781499,-0.320715,-0.026381504,-0.019194998,0.342035,-0.1805505,0.061804,-0.157251,-0.32768598,0.121288,0.10323499,0.54765004,-0.041202,0.39699,-0.12555505,-0.28998,-0.086229995,0.32645,-0.2531185,-0.2342725,-0.1293115,0.033885002,-0.068435,0.24243,0.132605,-0.27978,0.41539502,0.1867795,-0.413545,0.1998175,0.0084066,-0.034559995,0.3849375,0.155375,0.239848,-0.19895,-0.16984099,-0.280455,0.246478,-0.19396001,-0.0404685,-0.563645,0.11280001,-0.27297,-0.17835,0.279715,0.14720699,-1.0667651,0.11889,0.44288,0.53173,-0.34182,0.0019650012,0.371263,-0.73173,-0.268912,0.36948252,-0.1347795,0.3371465,0.26158,0.059125006,-0.30594298,0.233105,0.082191,0.23584798,-0.20087,0.32450497,0.1871135,-0.095617995,-0.106863,0.23705499,-0.0015550032,0.16803001,0.17772001,-0.26268297,-0.110190004,-0.65354496,0.044813,0.0419015,0.018475,-0.49716,-0.32412502,0.0714655,-0.31033,0.171531,-0.070884995,-0.28192,0.0808349,-0.258345,-0.15020499,-0.18481499,0.768005"
9,1323,1323,Monster Hunter Wilds,2246340,boss kiss,12,30.15,2026-03-01 13:55:36,"20,000,000 .. 50,000,000","['CAPCOM Co., Ltd.']","['CAPCOM Co., Ltd.']","['Action', 'Adventure', 'RPG']",['windows'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Keyboard Only Option', 'Stereo Sound', 'Subtitle Options', 'Surround Sound', 'Steam Cloud', 'HDR available', 'Family Sharing']","Feb 27, 2025",6999.0,"0.507845,-0.089341,0.5027605,-0.56545,-0.17071,0.429425,-0.050061002,0.18755499,-0.11491001,-0.362635,0.120105,-0.050941,0.166355,0.56159997,0.18362999,-0.013190001,0.13314,-0.181835,0.042619497,1.0023301,0.295955,-0.167815,-0.64759004,-0.26082,0.311125,0.33148497,-0.17289999,0.053705003,0.87103,-0.109009996,0.13648,0.792085,0.48797503,0.2119,-0.16308999,0.297885,0.058299996,-0.32573998,0.470955,-0.36407,0.258345,-0.05141,0.50668,-0.221655,-0.058569998,0.29843,-0.67446995,-0.08245,0.132305,-0.5025,-0.11885,-0.18611,-0.08851001,1.141025,0.032344997,-1.58235,-0.754355,0.87086,0.0034350008,-0.2110205,0.734995,0.5245559,-0.60879,-0.32815,0.47670498,-0.22778599,0.318685,0.763175,-0.040635005,-0.3512515,-0.191761,-0.28928,0.026649997,-0.571265,-0.270945,-0.237685,-0.1008666,-0.15487951,-0.21679099,0.39536524,0.05154501,-0.0035715,0.34050998,0.02088499,-0.867285,-0.1696735,-0.47852597,0.33868,-0.121845,0.16181499,0.034535,0.072378494,0.24673,0.38966,0.50215,-0.23285002,-0.64625,0.48417,0.17523,-0.049095005"
